object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
521381,Gami külakond,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521382,Gami külakond,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521383,Gami administratiivne üksus,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,449.0,,False,Gami administratiivne üksus; Ust-Võm rajoon; Komi Vabariik; Venemaa
521384,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521385,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521386,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521387,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521388,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521389,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521390,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,455.0,,False,Gami küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521581,Ai-Pim jõgi,küla,Venemaa,Handi-Mansi RR,Surguti rajoon,Ai-Pim jõgi,527.0,,False,Ai-Pim jõgi; Surguti rajoon; Handi-Mansi RR administratiivne üksus; Venemaa
521646,Šurõškarõ rajoon,rajoon,Venemaa,Tjumeni oblast,Šurõškarõ rajoon,,,,False,Šurõškarõ rajoon; Tjumeni oblast; Venemaa
521647,Šurõškarõ rajoon,rajoon,Venemaa,Tjumeni oblast,Šurõškarõ rajoon,,,,False,Šurõškarõ rajoon; Tjumeni oblast; Venemaa
521688,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521689,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521690,Derevjanski küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Derevjanski küla,599.0,,False,Derevjanski küla; Ust-Kulom rajoon; Komi Vabariik; Venemaa
521691,Derevjanski küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Derevjanski küla,599.0,,False,Derevjanski küla; Ust-Kulom rajoon; Komi Vabariik; Venemaa
521692,Derevjanski küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Derevjanski küla,599.0,,False,Derevjanski küla; Ust-Kulom rajoon; Komi Vabariik; Venemaa
521693,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521698,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa
521699,Malaja-Kužba küla,küla,Venemaa,Komi ANSV,rajoon,Malaja-Kužba küla,635.0,,False,Malaja-Kužba küla; rajoon; Komi Vabariik; Venemaa
521701,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521702,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
521703,Gami küla,küla,Venemaa,Komi ANSV,Ust-Võmi rajoon,Gami küla,641.0,,False,Gami külanõukogu; Ust-Võmi rajoon; Komi Vabariik; Venemaa
